category,title,summary,importance,source,date,time,url,raw_sources
国际,Nigeria Air Force orders investigation after dozens killed in airstrike,"There are reports that more than 100 people were killed, although the authorities have not commented.",,BBC World,2026-04-13,10:52,https://www.bbc.com/news/articles/cgk021z3ejpo?at_medium=RSS&at_campaign=rss,BBC World
商业,Investors Brace for a New Hormuz Blockade Threat,President Trump’s plan to bar ships from entering or leaving Iranian ports has put markets on edge and added to global economic uncertainty.,,NYTimes Business,2026-04-13,11:53,https://www.nytimes.com/2026/04/13/business/dealbook/trump-iran-hormuz-blockade.html,NYTimes Business
科技,Roblox defends expanded age‑checks after parents raise concerns over errors,"With 144m daily users, the gaming company is extending its tech to introduce two age‑specific accounts.",,BBC Technology,2026-04-13,12:19,https://www.bbc.com/news/articles/cj94y9r0p10o?at_medium=RSS&at_campaign=rss,BBC Technology
国际,Iran carried out highest number of executions in decades,Organisations warn many more people could be executed in the wake of the anti-government protests which swept Iran earlier this year.,,BBC World,2026-04-13,12:53,https://www.bbc.com/news/articles/cly9ggzy3ngo?at_medium=RSS&at_campaign=rss,BBC World
国际,Peru election drags into second day after ballot delivery fiasco,Technical and logistical problems mean Peruvians choosing a new president and members of Congress continue to vote on Monday.,,BBC World,2026-04-13,13:07,https://www.bbc.com/news/articles/c4gd0l2x8j2o?at_medium=RSS&at_campaign=rss,BBC World
商业,China’s Electrostate Is Poised to Win From War in the Middle East,"A cluster of Chinese firms is poised to win big from the energy crisis set off by the war in the Middle East, building on booming investment in artificial intelligence.",,NYTimes Business,2026-04-13,14:38,https://www.nytimes.com/2026/04/13/business/energy-environment/china-energy-battery-grid.html,NYTimes Business
科技,GTA-maker Rockstar Games hacked again but downplays impact,"The incident marks the second time the games giant has been hacked by young, English-speaking hackers.",,BBC Technology,2026-04-13,15:10,https://www.bbc.com/news/articles/cx2dg5g1le7o?at_medium=RSS&at_campaign=rss,BBC Technology
国际,The US blockade of Iran is a gamble. Will it work?,The US military is gambling on the blockade denying Iran vital trade - but questions remain on whether the bet will pay off.,,BBC World,2026-04-13,15:27,https://www.bbc.com/news/articles/ckgw8w7mzxgo?at_medium=RSS&at_campaign=rss,BBC World
商业,"How Iran, Suffering Under Sanctions, Diversified Its Economy","As the nation contended with high inflation, high unemployment and unrest before the war, it became more than just an oil exporter.",,NYTimes Business,2026-04-13,15:30,https://www.nytimes.com/2026/04/13/business/economy/iran-imports-exports-china.html,NYTimes Business
商业,Trump Administration’s Temporary Reprieve on Russian Oil Expires,A sanctions waiver aimed at keeping global oil prices down had allowed Moscow to sell oil currently at sea.,,NYTimes Business,2026-04-13,15:32,https://www.nytimes.com/2026/04/13/business/trump-iran-russia-oil-sanctions.html,NYTimes Business
国际,Ex-Nigerian oil minister denies taking bribes,Diezani Alison-Madueke is accused of living “a life of luxury” in the UK at properties paid for and refurbished by industry figures.,,BBC World,2026-04-13,16:05,https://www.bbc.com/news/articles/crl141ern74o?at_medium=RSS&at_campaign=rss,BBC World
国际,What is a naval blockade and how would it work in Strait of Hormuz?,Donald Trump says that the US is blockading the Strait of Hormuz. What does this mean in practice?,,BBC World,2026-04-13,16:07,https://www.bbc.com/news/articles/c5yv6xr6me3o?at_medium=RSS&at_campaign=rss,BBC World
商业,Two Iran-linked Ships Passed Through Strait of Hormuz Ahead of U.S. Blockade,"The vessels exited the Strait of Hormuz on Monday, hours before a U.S. naval blockade took effect.",,NYTimes Business,2026-04-13,17:27,https://www.nytimes.com/2026/04/13/world/middleeast/strait-hormuz-shipping-iran-blockade-trump.html,NYTimes Business
商业,Shipping Companies Remain Reluctant to Sail Through Strait of Hormuz,The United States said it has started to block vessels doing business with Iran from the strait. Details on how that would work are unclear.,,NYTimes Business,2026-04-13,17:38,https://www.nytimes.com/2026/04/13/business/shipping-iran-strait-of-hormuz.html,NYTimes Business
科技,"Elon Musk, Who Owns X, Appears to Post on TikTok","A verified account with the @elonmusk handle also recently showed up on Instagram, as the billionaire prepares to take his rocket company SpaceX public.",,NYTimes Technology,2026-04-13,17:54,https://www.nytimes.com/2026/04/12/technology/elon-musk-tiktok.html,NYTimes Technology
商业,Iran Blockade Sets Up a Test of Which Side Can Endure More Pain,President Trump is trying to choke off the country’s lifeline with a blockade of the Strait of Hormuz. But the Iranians are betting that his tolerance for political pain is limited.,,NYTimes Business,2026-04-13,19:01,https://www.nytimes.com/2026/04/13/us/politics/iran-war-strait-of-hormuz-blockade-economy.html,NYTimes Business
商业,Goldman Sachs Earnings Show Effects of Iran War,"It will be a tricky earnings season, as the investment banking giant became the first to show on Monday.",,NYTimes Business,2026-04-13,19:53,https://www.nytimes.com/2026/04/13/business/goldman-sachs-earnings.html,NYTimes Business
商业,Oil Prices Are Pressured and Stocks Gain After Trump Revives Talk of a Deal,Oil prices surged as markets reopened following news that U.S. peace talks with Iran had ended without a deal.,,NYTimes Business,2026-04-13,20:14,https://www.nytimes.com/2026/04/12/business/oil-prices-surge-above-100-after-peace-talks-fail-and-trump-threatens-blockade.html,NYTimes Business
国际,Spanish PM's wife charged with corruption after two-year probe,Begoña Gómez is accused of using her relationship with Pedro Sánchez to advance her private career.,,BBC World,2026-04-13,21:09,https://www.bbc.com/news/articles/c8ejg3wk81no?at_medium=RSS&at_campaign=rss,BBC World
科技,Quantum computing: A tech race Europe could win?,"With some promising computing companies in the field, could Europe be a leader in quantum tech?",,BBC Technology,2026-04-13,23:35,https://www.bbc.com/news/articles/c20q4nv89yzo?at_medium=RSS&at_campaign=rss,BBC Technology
