category,title,summary,importance,source,date,time,url,raw_sources
科技,Man charged with attempted murder over attack on home of OpenAI's Sam Altman,"The Texas man, who also faces federal felony charges, allegedly had documents advocating for violence against AI executives.",,BBC Technology,2026-04-14,01:05,https://www.bbc.com/news/articles/cq597n1pg6lo?at_medium=RSS&at_campaign=rss,BBC Technology
科技,"Man Held in Attack on OpenAI Chief’s Home Had List of A.I. Leaders, Officials Say",The authorities said a 20-year-old Texas man charged with throwing a homemade bomb at the gate of Sam Altman’s home had written at length about the threat of A.I.,,NYTimes Technology,2026-04-14,01:57,https://www.nytimes.com/2026/04/13/technology/man-who-attacked-openai-ceos-home-had-list-of-other-ai-executives.html,NYTimes Technology
商业,What’s Driving the Wartime Stock Rebound,"The S&amp;P 500 has recouped all its losses since the Middle East war started on Feb. 28, as a bullish “vibe shift” takes hold among some investors.",,NYTimes Business,2026-04-14,12:14,https://www.nytimes.com/2026/04/14/business/dealbook/stocks-us-iran-war.html,NYTimes Business
商业,"Middle East War Will Slow Global Economic Growth, I.M.F. Warns","The conflict could also fuel another bout of inflation, according to the International Monetary Fund.",,NYTimes Business,2026-04-14,13:50,https://www.nytimes.com/2026/04/14/business/iran-war-imf-economic-growth.html,NYTimes Business
商业,Pittsburgh Post-Gazette Saved From Closure by Nonprofit,"The Venetoulis Institute of Local Journalism, which operates The Baltimore Banner, has bought The Post-Gazette. The newspaper was set to shut down next month.",,NYTimes Business,2026-04-14,15:00,https://www.nytimes.com/2026/04/14/business/media/pittsburgh-post-gazette-bought-venetoulis-institute.html,NYTimes Business
科技,The FCC Has a Fast Lane for Complaints About Trump’s Media Critics,Internal emails obtained by WIRED reveal how a conservative legal group with a direct line into FCC chairman Brendan Carr’s office built the case against Jimmy Kimmel and his employees.,,WIRED Security,2026-04-14,15:12,https://www.wired.com/story/the-fcc-has-a-fast-lane-for-complaints-about-trumps-media-critics/,WIRED Security
商业,Bessent Questions the Cause of Climate Change and Its Economic Toll,"The Treasury secretary said it is “difficult to deconstruct” the reasons for global warming, which he described as a belief of the “elite.”",,NYTimes Business,2026-04-14,16:32,https://www.nytimes.com/2026/04/14/business/scott-bessent-climate-change-trump.html,NYTimes Business
科技,How to Use Google Chrome’s New AI-Powered ‘Skills’,The premade Skills available through the Gemini sidebar in Chrome include ways to maximize protein in recipes or summarize YouTube videos.,,WIRED AI,2026-04-14,17:00,https://www.wired.com/story/how-to-use-google-chrome-ai-powered-skills/,WIRED AI
科技,"Amazon Buys Globalstar for $10.8 Billion, Movingto Expand Its Satellite Internet Service","The e-commerce giant is buying Globalstar, a satellite communications company, as it aims to expand its own satellite internet service to compete with Elon Musk’s Starlink.",,NYTimes Technology,2026-04-14,17:53,https://www.nytimes.com/2026/04/14/technology/amazon-buys-globalstar-space-internet.html,NYTimes Technology
科技,Telegram Is Still Hosting a Sanctioned $21 Billion Crypto Scammer Black Market,The UK designated Xinbi Guarantee as an enabler of crypto scammers and human trafficking weeks ago. Telegram is still hosting it in plain sight.,,WIRED Security,2026-04-14,18:56,https://www.wired.com/story/telegram-is-still-hosting-a-sanctioned-21-billion-crypto-scammer-black-market/,WIRED Security
商业,JPMorgan Sees Resilience in U.S. Economy Despite Iran War,The nation’s largest bank said it earned record trading profits in the first quarter but tempered expectations overall for its business.,,NYTimes Business,2026-04-14,19:45,https://www.nytimes.com/2026/04/14/business/jpmorgan-wells-fargo-citi-earnings.html,NYTimes Business
科技,"In the Wake of Anthropic’s Mythos, OpenAI Has a New Cybersecurity Model—and Strategy","OpenAI says its safeguards “sufficiently reduce cyber risk” for now, while GPT-5.4-Cyber is a new cybersecurity-focused model.",,WIRED Security,2026-04-14,20:00,https://www.wired.com/story/in-the-wake-of-anthropics-mythos-openai-has-a-new-cybersecurity-model-and-strategy/,WIRED Security
商业,N.F.L. Reporter Resigns From The Athletic Amid an Investigation,"The publication, which is owned by The New York Times, was investigating the conduct of Dianna Russini after photographs showed her with the head coach of the New England Patriots.",,NYTimes Business,2026-04-14,21:05,https://www.nytimes.com/2026/04/14/business/media/dianna-russini-athletic-resigns.html,NYTimes Business
科技,Tech Life,"Can pedestrians, runners and cyclists safely share the road with self-driving vehicles?",,BBC Technology,2026-04-14,21:30,https://www.bbc.co.uk/sounds/play/w3ct8jxq?at_medium=RSS&at_campaign=rss,BBC Technology
商业,Ricky Cobb Has Built a Mini-Empire Through ’70s Nostalgia,Ricky Cobb has built a big online following with his irreverent postings about the absurdities of the 1970s.,,NYTimes Business,2026-04-14,21:34,https://www.nytimes.com/2026/04/14/business/ricky-cobb-1970s-super70ssports.html,NYTimes Business
